input,input_size,vertex_count,cost_algo2,output_algo2,runtime_algo2
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",4,3,4,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]']",6.33e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",4,3,4,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",0.000114
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",4,3,4,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",0.0001252
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",4,3,3,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",9.03e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",4,3,3,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1)]']",8.74e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(3, 1), (3, 2)]']",7.31e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",4,3,3,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",7.43e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",4,3,3,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]']",8.08e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",8.71e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",0.0001327
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",4,3,3,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",5.11e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",4,3,3,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]']",9.86e-05
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",7.75e-05
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(1, 2), (3, 2)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",5.43e-05
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",4,3,3,"['[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",5.45e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",5,3,5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",7.63e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",5,3,5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]']",0.0001229
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",5,3,5,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",7.75e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",5,3,4,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",6.87e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",5,3,4,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",7.48e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",5,3,4,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",0.0001169
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",6,3,6,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1)]', '[(3, 1), (3, 2)]']",0.0001025
