input,cost_algo2,output_algo2,runtime_algo2
"[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 1, 2]",3,"['[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.709e-05
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",1.311e-05
"[2, 1, 3, 4]-[2, 1, 4, 3]",2,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (4, 3)]']",3.307e-05
"[2, 4, 1, 3]-[4, 2, 1, 3]",2,"['[(1, 3), (2, 1), (2, 3), (4, 1), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",3.316e-05
"[2, 3, 1, 4]-[3, 2, 1, 4]",2,"['[(1, 4), (2, 1), (2, 4), (3, 1), (3, 4)]', '[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]']",3.303e-05
"[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",7,"['[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1)]', '[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00016719
"[2, 1, 3, 4]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]']",2.422e-05
"[2, 1, 4, 3]-[2, 4, 1, 3]-[4, 2, 1, 3]",3,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",5.614e-05
"[2, 3, 1, 4]-[2, 3, 4, 1]-[3, 2, 1, 4]-[3, 2, 4, 1]-[3, 4, 2, 1]",6,"['[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",0.00017192
"[2, 4, 3, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(2, 1), (2, 3), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.573e-05
"[2, 1, 4, 3]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (4, 3)]']",1.296e-05
"[2, 1, 3, 4]-[2, 3, 1, 4]-[3, 2, 1, 4]",3,"['[(1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]', '[(1, 4), (2, 1), (2, 4), (3, 1), (3, 4)]', '[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]']",5.449e-05
"[2, 4, 1, 3]-[2, 4, 3, 1]-[4, 2, 1, 3]-[4, 2, 3, 1]-[4, 3, 2, 1]",6,"['[(2, 1), (2, 3), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00016861
"[2, 3, 4, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]",3,"['[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",5.708e-05
"[1, 2, 3, 4]-[1, 2, 4, 3]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]']",3.333e-05
"[1, 4, 2, 3]-[4, 1, 2, 3]",2,"['[(1, 2), (1, 3), (2, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]']",3.258e-05
"[1, 3, 2, 4]-[3, 1, 2, 4]",2,"['[(1, 2), (1, 4), (2, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",3.246e-05
"[1, 3, 4, 2]-[1, 4, 3, 2]-[3, 1, 4, 2]-[3, 4, 1, 2]-[4, 1, 3, 2]-[4, 3, 1, 2]",7,"['[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2)]', '[(1, 2), (1, 4), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00016797
"[1, 2, 3, 4]",1,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]']",1.489e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[4, 1, 2, 3]",3,"['[(1, 2), (1, 3), (1, 4), (2, 3), (4, 3)]', '[(1, 2), (1, 3), (2, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]']",6.118e-05
"[1, 3, 2, 4]-[1, 3, 4, 2]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 4, 1, 2]",6,"['[(1, 2), (1, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 4), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",0.00016836
"[1, 4, 3, 2]-[4, 1, 3, 2]-[4, 3, 1, 2]",3,"['[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.697e-05
"[1, 2, 4, 3]",1,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]']",1.286e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[3, 1, 2, 4]",3,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 2), (1, 4), (2, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",5.404e-05
"[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 1, 2]",6,"['[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00017331
"[1, 3, 4, 2]-[3, 1, 4, 2]-[3, 4, 1, 2]",3,"['[(1, 2), (1, 4), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",5.725e-05
"[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 3, 1, 4]-[2, 3, 4, 1]-[2, 4, 1, 3]-[2, 4, 3, 1]",7,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]', '[(1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1)]', '[(2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]']",0.00016721
"[4, 2, 1, 3]-[4, 2, 3, 1]",2,"['[(2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 2), (4, 3)]']",3.557e-05
"[3, 2, 1, 4]-[3, 2, 4, 1]",2,"['[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",3.844e-05
"[3, 4, 2, 1]-[4, 3, 2, 1]",2,"['[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",3.274e-05
"[2, 1, 3, 4]-[2, 3, 1, 4]-[2, 3, 4, 1]",3,"['[(1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4), (4, 1)]']",5.525e-05
"[2, 1, 4, 3]-[2, 4, 1, 3]-[2, 4, 3, 1]-[4, 2, 1, 3]-[4, 2, 3, 1]",6,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(2, 1), (2, 3), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 2), (4, 3)]']",0.00016818
"[3, 2, 1, 4]-[3, 2, 4, 1]-[3, 4, 2, 1]",3,"['[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",5.648e-05
"[4, 3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",1.303e-05
"[2, 1, 4, 3]-[2, 4, 1, 3]-[2, 4, 3, 1]",3,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]']",5.464e-05
"[2, 1, 3, 4]-[2, 3, 1, 4]-[2, 3, 4, 1]-[3, 2, 1, 4]-[3, 2, 4, 1]",6,"['[(1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",0.00016787
"[4, 2, 1, 3]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.634e-05
"[3, 4, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",1.297e-05
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 2, 4]",4,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]']",6.121e-05
"[1, 3, 4, 2]-[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]",6,"['[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2)]', '[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00017235
"[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 4, 1, 3]",3,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]']",5.689e-05
"[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",1.297e-05
"[1, 3, 4, 2]-[1, 4, 2, 3]-[1, 4, 3, 2]",3,"['[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2)]', '[(1, 2), (1, 3), (1, 4), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2), (4, 3)]']",5.399e-05
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 2, 4]-[2, 1, 3, 4]-[2, 1, 4, 3]",7,"['[(1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (4, 3)]']",0.00018301
"[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 2, 1, 3]",4,"['[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",6.295e-05
"[2, 4, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]']",1.281e-05
"[3, 1, 2, 4]",1,"['[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",1.146e-05
"[3, 1, 4, 2]-[3, 4, 1, 2]-[4, 3, 1, 2]",3,"['[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.333e-05
"[2, 3, 1, 4]-[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 2, 1, 4]-[3, 2, 4, 1]",7,"['[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1)]', '[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",0.00018212
"[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.524e-05
"[3, 1, 4, 2]",1,"['[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4), (4, 2)]']",1.275e-05
"[2, 3, 1, 4]-[3, 1, 2, 4]-[3, 2, 1, 4]",3,"['[(1, 4), (2, 1), (2, 4), (3, 1), (3, 4)]', '[(1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 4), (2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]']",5.281e-05
"[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 1, 2]-[4, 3, 2, 1]",6,"['[(3, 1), (3, 2), (4, 1), (4, 2)]', '[(3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]', '[(3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00017044
"[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 2, 4, 1]",4,"['[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1)]', '[(2, 1), (2, 4), (3, 1), (3, 4), (4, 1)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",6.182e-05
"[1, 3, 2, 4]-[1, 3, 4, 2]",2,"['[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4), (4, 2)]']",3.296e-05
"[1, 4, 3, 2]-[4, 1, 3, 2]",2,"['[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]']",3.211e-05
"[1, 2, 3, 4]-[2, 1, 3, 4]",2,"['[(1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]']",3.524e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[2, 1, 4, 3]-[2, 4, 1, 3]-[4, 1, 2, 3]-[4, 2, 1, 3]",7,"['[(1, 2), (1, 3), (1, 4), (2, 3), (4, 3)]', '[(1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 2), (1, 3), (2, 3), (4, 2), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 3)]', '[(1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",0.0001657
"[1, 3, 2, 4]",1,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]']",1.399e-05
"[1, 3, 4, 2]-[1, 4, 3, 2]-[4, 1, 3, 2]",3,"['[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]']",5.379e-05
"[1, 2, 3, 4]-[1, 2, 4, 3]-[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 4, 1, 3]",6,"['[(1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]']",0.00016276
"[1, 4, 2, 3]-[4, 1, 2, 3]-[4, 2, 1, 3]",3,"['[(1, 2), (1, 3), (2, 3), (4, 2), (4, 3)]', '[(1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",5.576e-05
"[1, 3, 4, 2]",1,"['[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4), (4, 2)]']",1.284e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[2, 1, 3, 4]",4,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]', '[(1, 2), (1, 3), (1, 4), (2, 4), (3, 2), (3, 4)]', '[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]']",5.95e-05
"[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 2, 1, 3]",7,"['[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (4, 1), (4, 2), (4, 3)]']",0.00018951
"[1, 2, 4, 3]-[2, 1, 4, 3]-[2, 4, 1, 3]",3,"['[(1, 3), (1, 4), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 3)]', '[(1, 3), (2, 1), (2, 3), (2, 4), (4, 1), (4, 3)]']",5.592e-05
"[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 2, 1, 4]-[3, 2, 4, 1]-[3, 4, 1, 2]-[3, 4, 2, 1]",7,"['[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",0.00016526
"[4, 3, 1, 2]-[4, 3, 2, 1]",2,"['[(3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",3.436e-05
"[2, 3, 1, 4]-[2, 3, 4, 1]",2,"['[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4)]', '[(2, 1), (2, 3), (2, 4), (3, 1), (3, 4), (4, 1)]']",3.233e-05
"[2, 4, 3, 1]-[4, 2, 3, 1]",2,"['[(2, 1), (2, 3), (3, 1), (4, 1), (4, 3)]', '[(2, 1), (2, 3), (3, 1), (4, 1), (4, 2), (4, 3)]']",3.232e-05
"[3, 1, 2, 4]-[3, 2, 1, 4]-[3, 2, 4, 1]",3,"['[(1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4)]', '[(2, 1), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1)]']",5.431e-05
"[3, 1, 4, 2]-[3, 4, 1, 2]-[3, 4, 2, 1]-[4, 3, 1, 2]-[4, 3, 2, 1]",6,"['[(1, 2), (3, 1), (3, 2), (3, 4), (4, 2)]', '[(3, 1), (3, 2), (4, 1), (4, 2)]', '[(3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]', '[(2, 1), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",0.00016339
