input,cost_algo2i,output_algo2i,runtime_algo2i
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 2, 3]-[1, 4, 3, 2]",3,"['[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4)]', '[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4)]', '[(1, 2), (1, 3), (1, 4), (4, 2), (4, 3)]']",0.00012254
"[4, 1, 2, 3]-[4, 1, 3, 2]",1,"['[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]']",3.772e-05
"[3, 1, 2, 4]-[3, 1, 4, 2]",1,"['[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4)]']",2.539e-05
"[3, 4, 1, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2)]']",2.413e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]",2,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 2), (1, 3), (1, 4), (3, 2), (3, 4), (4, 2)]']",3.296e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]",3,"['[(1, 2), (1, 3), (1, 4), (2, 3), (4, 3)]', '[(1, 2), (1, 3), (3, 2), (4, 2), (4, 3)]', '[(1, 2), (1, 3), (2, 3), (4, 1), (4, 2), (4, 3)]']",6.28e-05
"[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 4, 1, 2]",2,"['[(1, 2), (1, 4), (3, 1), (3, 2), (3, 4)]', '[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",3.344e-05
"[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",1.063e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[1, 4, 3, 2]",2,"['[(1, 2), (1, 3), (1, 4), (2, 3), (4, 3)]', '[(1, 2), (1, 3), (1, 4), (3, 2), (4, 2), (4, 3)]']",3.129e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]-[3, 1, 2, 4]-[3, 1, 4, 2]",3,"['[(1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]', '[(1, 2), (1, 4), (3, 2), (3, 4), (4, 2)]', '[(1, 2), (1, 4), (2, 4), (3, 1), (3, 2), (3, 4)]']",5.748e-05
"[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 1, 2]",2,"['[(1, 2), (1, 3), (4, 1), (4, 2), (4, 3)]', '[(1, 2), (3, 1), (3, 2), (4, 1), (4, 2), (4, 3)]']",3.255e-05
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2)]']",1.016e-05
"[2, 1, 3, 4]-[2, 1, 4, 3]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4)]']",2.343e-05
"[2, 4, 1, 3]-[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3), (4, 1), (4, 3)]']",2.303e-05
"[2, 3, 1, 4]-[3, 2, 1, 4]",1,"['[(1, 4), (2, 1), (2, 4), (3, 1), (3, 4)]']",2.284e-05
"[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",3,"['[(2, 1), (2, 3), (2, 4), (3, 1), (4, 1)]', '[(2, 1), (3, 1), (3, 2), (3, 4), (4, 1)]', '[(2, 1), (3, 1), (4, 1), (4, 2), (4, 3)]']",6.79e-05
"[2, 1, 3, 4]",1,"['[(1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 4)]']",1.139e-05
