input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",8.731e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1)]']",2.132e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1)]']",2.751e-05
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",4.511e-05
"[1, 2, 3]",1,"['[(1, 2), (2, 3)]']",1.808e-05
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",4.139e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",4.23e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 2)]']",1.73e-05
"[1, 3, 2]",1,"['[(1, 3), (3, 2)]']",1.674e-05
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",4.152e-05
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",4.092e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1)]']",1.732e-05
