input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]', '[(3, 2), (1, 2)]']",0.0004002
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1), (2, 1)]']",0.0003178
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1), (3, 2)]']",0.0002897
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0002633
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1), (2, 1)]']",0.0004154
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1), (3, 2)]']",0.0002389
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2)]']",0.0002485
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0002359
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (2, 1)]']",0.0002251
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.0002419
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2)]', '[(3, 1), (2, 1)]']",0.0002804
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.000277
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0016482
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3)]', '[(3, 1), (2, 1)]']",0.0007962
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3)]', '[(3, 1), (3, 2)]']",0.0011163
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 2), (1, 2)]', '[(3, 1), (2, 1)]']",0.0005469
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.0005266
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.0005454
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(2, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.0013884
