input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3, 4]-[1, 2, 4, 3]-[1, 3, 2, 4]-[1, 3, 4, 2]-[1, 4, 2, 3]-[1, 4, 3, 2]",1,"['[(1, 2), (1, 3), (1, 4)]']",0.00068769
"[4, 1, 2, 3]-[4, 1, 3, 2]",1,"['[(1, 2), (1, 3), (4, 1)]']",9.828e-05
"[3, 1, 2, 4]-[3, 1, 4, 2]",1,"['[(1, 2), (1, 4), (3, 1)]']",9.497e-05
"[3, 4, 1, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (4, 1)]']",9.525e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]",1,"['[(1, 2), (1, 3), (3, 4)]']",0.00018252
"[1, 2, 4, 3]-[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]",1,"['[(1, 2), (1, 3), (4, 3)]']",0.00046334
"[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 4, 1, 2]",1,"['[(1, 2), (3, 1), (3, 4)]']",0.00018101
"[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (4, 3)]']",4.087e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[1, 4, 3, 2]",1,"['[(1, 2), (1, 4), (4, 3)]']",0.00018349
"[1, 2, 3, 4]-[1, 3, 2, 4]-[1, 3, 4, 2]-[3, 1, 2, 4]-[3, 1, 4, 2]",1,"['[(1, 2), (1, 4), (3, 4)]']",0.00046039
"[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (4, 1), (4, 3)]']",0.00017918
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 4), (4, 1)]']",4.03e-05
"[2, 1, 3, 4]-[2, 1, 4, 3]",1,"['[(1, 3), (1, 4), (2, 1)]']",9.318e-05
"[2, 4, 1, 3]-[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (4, 1)]']",9.449e-05
"[2, 3, 1, 4]-[3, 2, 1, 4]",1,"['[(1, 4), (2, 1), (3, 1)]']",9.161e-05
"[2, 3, 4, 1]-[2, 4, 3, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",1,"['[(2, 1), (3, 1), (4, 1)]']",0.00063749
"[2, 1, 3, 4]",1,"['[(1, 3), (2, 1), (3, 4)]']",4.24e-05
"[2, 1, 4, 3]-[2, 4, 1, 3]-[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (4, 3)]']",0.00018645
"[2, 3, 1, 4]-[2, 3, 4, 1]-[3, 2, 1, 4]-[3, 2, 4, 1]-[3, 4, 2, 1]",1,"['[(2, 1), (3, 1), (3, 4)]']",0.00046686
"[2, 4, 3, 1]-[4, 2, 3, 1]-[4, 3, 2, 1]",1,"['[(2, 1), (3, 1), (4, 3)]']",0.0001844
"[2, 1, 4, 3]",1,"['[(1, 4), (2, 1), (4, 3)]']",4.123e-05
"[2, 1, 3, 4]-[2, 3, 1, 4]-[3, 2, 1, 4]",1,"['[(1, 4), (2, 1), (3, 4)]']",0.00018573
"[2, 4, 1, 3]-[2, 4, 3, 1]-[4, 2, 1, 3]-[4, 2, 3, 1]-[4, 3, 2, 1]",1,"['[(2, 1), (4, 1), (4, 3)]']",0.00046891
"[2, 3, 4, 1]-[3, 2, 4, 1]-[3, 4, 2, 1]",1,"['[(2, 1), (3, 4), (4, 1)]']",0.00018883
"[1, 2, 3, 4]-[1, 2, 4, 3]",1,"['[(1, 2), (2, 3), (2, 4)]']",9.456e-05
"[1, 4, 2, 3]-[4, 1, 2, 3]",1,"['[(1, 2), (2, 3), (4, 2)]']",9.232e-05
"[1, 3, 2, 4]-[3, 1, 2, 4]",1,"['[(1, 2), (2, 4), (3, 2)]']",9.49e-05
"[1, 3, 4, 2]-[1, 4, 3, 2]-[3, 1, 4, 2]-[3, 4, 1, 2]-[4, 1, 3, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (3, 2), (4, 2)]']",0.00064113
"[1, 2, 3, 4]",1,"['[(1, 2), (2, 3), (3, 4)]']",3.992e-05
"[1, 2, 4, 3]-[1, 4, 2, 3]-[4, 1, 2, 3]",1,"['[(1, 2), (2, 3), (4, 3)]']",0.00018299
"[1, 3, 2, 4]-[1, 3, 4, 2]-[3, 1, 2, 4]-[3, 1, 4, 2]-[3, 4, 1, 2]",1,"['[(1, 2), (3, 2), (3, 4)]']",0.00046301
"[1, 4, 3, 2]-[4, 1, 3, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (3, 2), (4, 3)]']",0.00018424
"[1, 2, 4, 3]",1,"['[(1, 2), (2, 4), (4, 3)]']",4.192e-05
"[1, 2, 3, 4]-[1, 3, 2, 4]-[3, 1, 2, 4]",1,"['[(1, 2), (2, 4), (3, 4)]']",0.00018265
"[1, 4, 2, 3]-[1, 4, 3, 2]-[4, 1, 2, 3]-[4, 1, 3, 2]-[4, 3, 1, 2]",1,"['[(1, 2), (4, 2), (4, 3)]']",0.000458
"[1, 3, 4, 2]-[3, 1, 4, 2]-[3, 4, 1, 2]",1,"['[(1, 2), (3, 4), (4, 2)]']",0.00018561
"[2, 1, 3, 4]-[2, 1, 4, 3]-[2, 3, 1, 4]-[2, 3, 4, 1]-[2, 4, 1, 3]-[2, 4, 3, 1]",1,"['[(2, 1), (2, 3), (2, 4)]']",0.00063303
"[4, 2, 1, 3]-[4, 2, 3, 1]",1,"['[(2, 1), (2, 3), (4, 2)]']",9.578e-05
"[3, 2, 1, 4]-[3, 2, 4, 1]",1,"['[(2, 1), (2, 4), (3, 2)]']",0.0001013
"[3, 4, 2, 1]-[4, 3, 2, 1]",1,"['[(2, 1), (3, 2), (4, 2)]']",9.489e-05
