input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3]",1,"['[(1, 2), (2, 3)]']",4.93e-05
"[1, 3, 2]",1,"['[(1, 3), (3, 2)]']",3.67e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1)]']",2.59e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1)]']",2.64e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1)]']",3.41e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 2)]']",3.35e-05
