input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3, 4, 5]-[1, 2, 3, 5, 4]-[1, 2, 4, 3, 5]-[1, 2, 4, 5, 3]-[1, 2, 5, 3, 4]-[1, 2, 5, 4, 3]-[1, 3, 2, 4, 5]-[1, 3, 2, 5, 4]-[1, 3, 4, 2, 5]-[1, 3, 4, 5, 2]-[1, 3, 5, 2, 4]-[1, 3, 5, 4, 2]-[1, 4, 2, 3, 5]-[1, 4, 2, 5, 3]-[1, 4, 3, 2, 5]-[1, 4, 3, 5, 2]-[1, 4, 5, 2, 3]-[1, 4, 5, 3, 2]-[1, 5, 2, 3, 4]-[1, 5, 2, 4, 3]-[1, 5, 3, 2, 4]-[1, 5, 3, 4, 2]-[1, 5, 4, 2, 3]-[1, 5, 4, 3, 2]",4,"['[(1, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 5)]', '[(1, 2), (1, 3), (1, 5), (2, 4), (3, 4), (5, 4)]', '[(1, 2), (1, 4), (1, 5), (2, 3), (4, 3), (5, 3)]', '[(1, 3), (1, 4), (1, 5), (3, 2), (4, 2), (5, 2)]']",0.0030516
"[5, 1, 2, 3, 4]-[5, 1, 2, 4, 3]-[5, 1, 3, 2, 4]-[5, 1, 3, 4, 2]-[5, 1, 4, 2, 3]-[5, 1, 4, 3, 2]",3,"['[(1, 2), (1, 3), (2, 4), (3, 4), (5, 1)]', '[(1, 2), (1, 4), (2, 3), (4, 3), (5, 1)]', '[(1, 3), (1, 4), (3, 2), (4, 2), (5, 1)]']",0.0002609
"[4, 1, 2, 3, 5]-[4, 1, 2, 5, 3]-[4, 1, 3, 2, 5]-[4, 1, 3, 5, 2]-[4, 1, 5, 2, 3]-[4, 1, 5, 3, 2]",3,"['[(1, 2), (1, 3), (2, 5), (3, 5), (4, 1)]', '[(1, 2), (1, 5), (2, 3), (4, 1), (5, 3)]', '[(1, 3), (1, 5), (3, 2), (4, 1), (5, 2)]']",0.0003286
"[4, 5, 1, 2, 3]-[4, 5, 1, 3, 2]-[5, 4, 1, 2, 3]-[5, 4, 1, 3, 2]",2,"['[(1, 2), (2, 3), (4, 1), (5, 1)]', '[(1, 3), (3, 2), (4, 1), (5, 1)]']",0.0001954
"[1, 2, 3, 4, 5]-[1, 2, 4, 3, 5]-[1, 2, 4, 5, 3]-[1, 3, 2, 4, 5]-[1, 3, 4, 2, 5]-[1, 3, 4, 5, 2]-[1, 4, 2, 3, 5]-[1, 4, 2, 5, 3]-[1, 4, 3, 2, 5]-[1, 4, 3, 5, 2]-[1, 4, 5, 2, 3]-[1, 4, 5, 3, 2]",3,"['[(1, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 5)]', '[(1, 2), (1, 4), (2, 3), (4, 5), (5, 3)]', '[(1, 3), (1, 4), (3, 2), (4, 5), (5, 2)]']",0.0007024
"[1, 2, 3, 5, 4]-[1, 2, 5, 3, 4]-[1, 2, 5, 4, 3]-[1, 3, 2, 5, 4]-[1, 3, 5, 2, 4]-[1, 3, 5, 4, 2]-[1, 5, 2, 3, 4]-[1, 5, 2, 4, 3]-[1, 5, 3, 2, 4]-[1, 5, 3, 4, 2]-[1, 5, 4, 2, 3]-[1, 5, 4, 3, 2]-[5, 1, 2, 3, 4]-[5, 1, 2, 4, 3]-[5, 1, 3, 2, 4]-[5, 1, 3, 4, 2]-[5, 1, 4, 2, 3]-[5, 1, 4, 3, 2]",3,"['[(1, 2), (1, 3), (2, 4), (3, 4), (5, 4)]', '[(1, 2), (1, 4), (2, 3), (4, 3), (5, 4)]', '[(1, 3), (1, 4), (3, 2), (4, 2), (5, 4)]']",0.0015736
"[4, 1, 2, 3, 5]-[4, 1, 2, 5, 3]-[4, 1, 3, 2, 5]-[4, 1, 3, 5, 2]-[4, 1, 5, 2, 3]-[4, 1, 5, 3, 2]-[4, 5, 1, 2, 3]-[4, 5, 1, 3, 2]",3,"['[(1, 2), (1, 3), (2, 5), (3, 5), (4, 1)]', '[(1, 2), (2, 3), (4, 1), (4, 5), (5, 3)]', '[(1, 3), (3, 2), (4, 1), (4, 5), (5, 2)]']",0.0005627
"[5, 4, 1, 2, 3]-[5, 4, 1, 3, 2]",2,"['[(1, 2), (2, 3), (4, 1), (5, 4)]', '[(1, 3), (3, 2), (4, 1), (5, 4)]']",9.25e-05
"[1, 2, 3, 5, 4]-[1, 2, 5, 3, 4]-[1, 2, 5, 4, 3]-[1, 3, 2, 5, 4]-[1, 3, 5, 2, 4]-[1, 3, 5, 4, 2]-[1, 5, 2, 3, 4]-[1, 5, 2, 4, 3]-[1, 5, 3, 2, 4]-[1, 5, 3, 4, 2]-[1, 5, 4, 2, 3]-[1, 5, 4, 3, 2]",3,"['[(1, 2), (1, 3), (1, 5), (2, 4), (3, 4), (5, 4)]', '[(1, 2), (1, 5), (2, 3), (4, 3), (5, 4)]', '[(1, 3), (1, 5), (3, 2), (4, 2), (5, 4)]']",0.0009786
"[1, 2, 3, 4, 5]-[1, 2, 4, 3, 5]-[1, 2, 4, 5, 3]-[1, 3, 2, 4, 5]-[1, 3, 4, 2, 5]-[1, 3, 4, 5, 2]-[1, 4, 2, 3, 5]-[1, 4, 2, 5, 3]-[1, 4, 3, 2, 5]-[1, 4, 3, 5, 2]-[1, 4, 5, 2, 3]-[1, 4, 5, 3, 2]-[4, 1, 2, 3, 5]-[4, 1, 2, 5, 3]-[4, 1, 3, 2, 5]-[4, 1, 3, 5, 2]-[4, 1, 5, 2, 3]-[4, 1, 5, 3, 2]",3,"['[(1, 2), (1, 3), (2, 5), (3, 5), (4, 5)]', '[(1, 2), (1, 5), (2, 3), (4, 5), (5, 3)]', '[(1, 3), (1, 5), (3, 2), (4, 5), (5, 2)]']",0.0016375
"[5, 1, 2, 3, 4]-[5, 1, 2, 4, 3]-[5, 1, 3, 2, 4]-[5, 1, 3, 4, 2]-[5, 1, 4, 2, 3]-[5, 1, 4, 3, 2]-[5, 4, 1, 2, 3]-[5, 4, 1, 3, 2]",3,"['[(1, 2), (1, 3), (2, 4), (3, 4), (5, 1)]', '[(1, 2), (2, 3), (4, 3), (5, 1), (5, 4)]', '[(1, 3), (3, 2), (4, 2), (5, 1), (5, 4)]']",0.0005129
"[4, 5, 1, 2, 3]-[4, 5, 1, 3, 2]",2,"['[(1, 2), (2, 3), (4, 5), (5, 1)]', '[(1, 3), (3, 2), (4, 5), (5, 1)]']",7.14e-05
"[3, 1, 2, 4, 5]-[3, 1, 2, 5, 4]-[3, 1, 4, 2, 5]-[3, 1, 4, 5, 2]-[3, 1, 5, 2, 4]-[3, 1, 5, 4, 2]",3,"['[(1, 2), (1, 4), (2, 5), (3, 1), (4, 5)]', '[(1, 2), (1, 5), (2, 4), (3, 1), (5, 4)]', '[(1, 4), (1, 5), (3, 1), (4, 2), (5, 2)]']",0.0002573
"[3, 5, 1, 2, 4]-[3, 5, 1, 4, 2]-[5, 3, 1, 2, 4]-[5, 3, 1, 4, 2]",2,"['[(1, 2), (2, 4), (3, 1), (5, 1)]', '[(1, 4), (3, 1), (4, 2), (5, 1)]']",0.0001702
"[3, 4, 1, 2, 5]-[3, 4, 1, 5, 2]-[4, 3, 1, 2, 5]-[4, 3, 1, 5, 2]",2,"['[(1, 2), (2, 5), (3, 1), (4, 1)]', '[(1, 5), (3, 1), (4, 1), (5, 2)]']",0.0001083
"[3, 4, 5, 1, 2]-[3, 5, 4, 1, 2]-[4, 3, 5, 1, 2]-[4, 5, 3, 1, 2]-[5, 3, 4, 1, 2]-[5, 4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (4, 1), (5, 1)]']",0.0003828
"[3, 1, 2, 4, 5]-[3, 1, 4, 2, 5]-[3, 1, 4, 5, 2]",2,"['[(1, 2), (1, 4), (2, 5), (3, 1), (4, 5)]', '[(1, 4), (3, 1), (4, 5), (5, 2)]']",0.0001193
