input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 1), (3, 2), (1, 2)]', '[(2, 3)]']",0.0005536
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 1)]']",0.0003429
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1), (3, 2)]']",0.0004967
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1)]']",0.000357
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0003886
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 1)]']",0.0005281
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 2)]']",0.0006648
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1)]']",0.0006847
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1)]']",0.0004515
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 2), (1, 2)]', '[(2, 3)]']",0.0014442
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1)]']",0.0012893
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 2)]']",0.0014785
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1)]']",0.0009454
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1)]']",0.0014812
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2)]', '[(2, 1)]']",0.0013278
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",1,['[]'],0.0017606
